'Lamda_MAX_(micrometros)','Lamda_MIN_(micrometros)','Delta_Lamda_(rmse)','Radial Velocity (km s-1)','Delta_rv(ABSFERR)','Tempeartura_(Kelvin)','Delta_Temperatura','Tipo_de_Estrella','Archivo'
2.42348,0.814380,4.185166099742001e-12,56.1177630000,0.0189314000000,1195.6360275306583,2.0647727111639064e-09,M,./data/M/M1
4.12608,0.812975,2.580207802619457e-14,19.5782140000,0.0124752000000,2427.390237159779,5.246811394661983e-11,M,./data/M/M2
4.11580,0.809433,7.614867664549217e-14,-21.0189250000,0.0149520000000,2641.722735809492,1.833996046862881e-10,M,./data/M/M3
4.14516,0.808899,4.495233643415359e-14,21.3119590000,0.0144105000000,2817.005473405858,1.2310883403563278e-10,M,./data/M/M4
5.02789,0.810909,5.700295379821706e-10,-8.96847040000,0.149236000000,2691.0860560581013,1.4246694106330784e-06,M,./data/M/M5
4.98273,0.807364,1.1603362786921748e-11,-67.3790870000,0.152909000000,1685.8959813350555,1.1381696189886777e-08,M,./data/M/M6
4.95107,0.811509,2.5997662792071547e-10,37.4255640000,0.112052000000,2443.8090900657,5.358341948715706e-07,M,./data/M/M7
5.04515,0.806642,2.1723005095870583e-12,39.5009730000,0.0143607000000,2176.715395363512,3.5520966079524572e-09,M,./data/M/M8
4.14313,0.808354,4.909760891457155e-14,16.4866070000,0.0139409000000,2642.3008881836913,1.183004647395341e-10,M,./data/M/M9
2.41759,0.813889,9.062858253674585e-15,-60.2709640000,0.0138772000000,2352.559106261366,1.7310429424394424e-11,M,./data/M/M10
2.41111,0.813416,1.7450875883622002e-14,20.3797960000,0.0145947000000,2286.3816054224235,3.1483008860220405e-11,M,./data/M/M11
2.42419,0.808419,4.140315727093191e-12,34.6699500000,0.0198728000000,1322.2476750235005,2.498162307550449e-09,M,./data/M/M12
2.42351,0.811017,2.500681128900475e-13,119.650250000,0.0144527000000,2454.1373761328023,5.197776763127489e-10,M,./data/M/M13
4.11880,0.809757,9.079142391378892e-15,9.47414210000,0.0144748000000,2281.018019223654,1.630286102906581e-11,M,./data/M/M14
4.11097,0.813805,8.135040002949654e-15,14.0009780000,0.0116090000000,2531.8490816629674,1.799686626073396e-11,M,./data/M/M15
